Timestamp,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Left Speed,Right Speed,Average EAR,Blink Count
2024-11-28 00:37:45,1072,474,880,466,0,0,0.2863371695854533,0
2024-11-28 00:37:46,1087,486,899,479,87.54639157051963,63.69935639769459,0.2648889662796006,0
2024-11-28 00:37:47,1095,487,904,482,0.0,89.17157658264179,0.28448438990469305,1
2024-11-28 00:37:48,1119,445,939,425,114.8597287546126,90.80458857342778,0.3150653513233608,1
2024-11-28 00:37:49,1337,423,1125,406,237.53246187215603,164.97017513566925,0.3469446583715301,1
2024-11-28 00:37:50,1271,393,1048,389,88.52997076989195,104.17293426772565,0.3179694224507105,1
2024-11-28 00:37:51,1273,396,1048,396,0.0,0.0,0.31629239784441276,1
2024-11-28 00:37:52,1278,399,1052,402,72.4726101956538,0.0,0.3175240316484705,1
2024-11-28 00:37:53,1270,397,1049,399,18.807024846670753,18.807024846670753,0.32658548424224787,1
2024-11-28 00:37:54,1280,402,1056,400,14.380010696800559,20.336406154485534,0.3108714790141338,1
2024-11-28 00:37:55,1288,406,1064,404,14.937831215453873,0.0,0.29990681928622176,1
2024-11-28 00:37:56,1300,405,1074,401,43.712067366314756,58.28275648841968,0.33433593073869244,1
2024-11-28 00:37:57,1286,403,1064,401,47.90517547578069,0.0,0.3318418008761739,1
2024-11-28 00:37:58,1303,415,1079,407,78.44149373343653,111.99460851962,0.28115478789598003,1
2024-11-28 00:37:59,1314,416,1087,406,77.20896101517542,59.11438422237563,0.29943791752325755,1
2024-11-28 00:38:00,1303,412,1082,402,9.85406515334483,13.935752584368371,0.3197473434916732,1
2024-11-28 00:38:01,1307,416,1085,405,15.293055545427364,43.255293124936905,0.2881485621856351,1
2024-11-28 00:38:02,1171,544,979,553,104.5860842296047,46.772318767582966,0.2111715300481639,1
2024-11-28 00:38:03,1166,545,972,557,33.83985214666113,42.80440338671499,0.20296175262641583,1
2024-11-28 00:38:04,1191,468,999,479,49.79133384970807,70.41557961890372,0.3061150863619362,2
2024-11-28 00:38:05,1188,456,999,456,149.40598150549278,0.0,0.2922849776737373,2
2024-11-28 00:38:07,1076,444,887,457,155.2870788596816,163.68695346359218,0.2589165189744933,2
2024-11-28 00:38:08,1036,433,856,456,124.64638998448157,124.64638998448157,0.2922242034002015,2
2024-11-28 00:38:09,1079,450,887,451,162.81956211080274,143.69194460727962,0.22021267144450818,2
2024-11-28 00:38:10,1142,470,953,464,28.422855903718965,28.422855903718965,0.2843557214701019,3
2024-11-28 00:38:11,1077,440,887,446,26.793131643499592,26.793131643499592,0.28378494802392745,3
2024-11-28 00:38:12,1118,465,930,462,27.196182176574332,38.46120967888086,0.27628729386081163,4
2024-11-28 00:38:13,951,468,771,506,161.53199092629248,169.6815161700843,0.28206424647859063,4
2024-11-28 00:38:14,952,467,774,504,26.81385729720054,59.95760765551919,0.3213661146988049,4
2024-11-28 00:38:15,975,419,805,448,30.243604164864006,42.7709151849941,0.32925362307913775,4
2024-11-28 00:38:16,977,419,807,447,67.6287053814485,30.24447649264494,0.32160988145413477,4
2024-11-28 00:38:17,1000,424,824,449,95.71044767754996,67.67750658319584,0.3147593815110181,4
2024-11-28 00:38:18,1022,420,844,443,65.82640610273432,29.43846375204419,0.3004486841185464,4
2024-11-28 00:38:19,1072,437,895,436,41.47856090007848,41.47856090007848,0.2943203338430866,4
2024-11-28 00:38:20,1070,449,898,442,126.36376731462308,148.9211279407483,0.32289184864032017,4
2024-11-28 00:38:21,1064,458,886,449,37.729488926093076,37.729488926093076,0.3035452930324736,4
2024-11-28 00:38:22,1073,449,886,443,221.75024305458564,346.3849527898599,0.266240918029383,4
2024-11-28 00:38:23,931,448,755,473,104.46064953177924,34.82021651059308,0.24338605372625538,4
2024-11-28 00:38:24,930,438,753,461,26.087873812011743,26.087873812011743,0.3128496487066917,4
2024-11-28 00:38:25,935,441,756,465,44.586071893946105,14.099353910488702,0.30884993334530897,4
2024-11-28 00:38:26,935,443,758,466,15.46481033567341,21.870544516236958,0.2926843932356513,4
2024-11-28 00:38:27,928,448,753,473,49.884550986911165,80.43642154292371,0.3197860544027895,4
2024-11-28 00:38:28,934,451,756,474,33.99526200250568,15.203143350103666,0.3038771474763854,4
2024-11-28 00:38:29,935,452,758,475,63.1929248338933,70.65183781281002,0.28632117515876176,4
2024-11-28 00:38:30,938,450,761,471,0.0,15.000604415451576,0.3082752894450018,4
2024-11-28 00:38:31,940,450,763,471,20.220080863106425,31.970755000099807,0.309772167508706,4
2024-11-28 00:38:32,938,451,763,473,29.051255056242034,29.051255056242034,0.29834584441648426,4
2024-11-28 00:38:33,941,450,764,470,0.0,15.419214904896,0.2973516989354539,4
2024-11-28 00:38:34,938,452,762,472,15.498582909930716,30.997165819861433,0.31357709197012085,4
2024-11-28 00:38:35,936,451,761,473,48.75425290162096,34.47446283842009,0.31061086194268106,4
2024-11-28 00:38:36,940,451,763,471,15.311087504882474,34.23663247036485,0.3086244136437133,4
2024-11-28 00:38:37,938,451,762,472,24.615904689242328,24.615904689242328,0.30455814317712904,4
2024-11-28 00:38:38,940,452,763,474,20.508957138515473,29.004045335417086,0.30067799738661505,4
2024-11-28 00:38:39,937,452,761,472,33.62248390742864,33.62248390742864,0.3226606548065585,4
2024-11-28 00:38:40,936,453,761,475,31.490187245671727,62.980374491343454,0.30172599352206597,4
2024-11-28 00:38:41,937,453,761,473,21.504388877062734,34.001424270754434,0.31955793609904537,4
2024-11-28 00:38:42,936,452,761,474,29.957174487536605,42.36584245065154,0.30358520320506166,4
