Timestamp,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Left Speed,Right Speed,Average EAR,Blink Count
2024-12-01 19:05:44,1295,578,1071,574,0,0,0.21758166986056648,0
2024-12-01 19:05:45,1293,573,1077,568,0.0,0.0,0.2856599579068955,0
2024-12-01 19:05:46,1256,542,1050,550,65.43237075591641,82.76612971731569,0.2718052384426346,1
2024-12-01 19:05:47,907,512,742,551,154.391937158128,69.04617333268999,0.31008525749509197,1
2024-12-01 19:05:48,1302,254,945,265,434.61313515271013,501.57401183354557,0.2769905463818224,1
2024-12-01 19:05:49,1064,408,811,405,94.9859552923285,120.14878578027313,0.2890647378722438,2
2024-12-01 19:05:50,1161,504,914,497,161.99772134164928,161.99772134164928,0.2833975971262118,2
2024-12-01 19:05:51,1162,494,855,488,142.02219261787306,167.117061120408,0.2850489636190383,2
2024-12-01 19:05:52,1185,509,873,503,0.0,0.0,0.27412919538421404,2
2024-12-01 19:05:53,1199,516,889,503,79.59798177020562,62.92772988660278,0.27251720731822815,2
2024-12-01 19:05:54,1173,490,872,480,0.0,0.0,0.3022236642565096,2
2024-12-01 19:05:55,1046,480,733,485,29.727440251750632,59.454880503501265,0.30446926358655724,2
2024-12-01 19:05:56,1088,490,781,481,67.03607323702542,29.97944334052864,0.310000069510066,2
2024-12-01 19:05:57,1134,487,833,479,66.6449854135971,42.149989707133116,0.29234140354218136,2
2024-12-01 19:05:58,1136,532,825,530,160.75977887143532,140.9956532412171,0.23474428942414927,2
2024-12-01 19:05:59,1035,522,774,553,333.31936484611845,209.76346790585117,0.23184656356499633,2
2024-12-01 19:06:00,1044,588,794,614,114.79999726295478,146.34185655105117,0.2358051204496931,3
2024-12-01 19:06:01,1135,619,860,623,27.328906988108812,27.328906988108812,0.25690217995805664,4
2024-12-01 19:06:03,1050,616,776,641,128.27812167929395,155.56007209987166,0.2523534067422633,4
2024-12-01 19:06:04,1047,626,772,650,28.203448183114123,56.406896366228246,0.26975319543481413,4
2024-12-01 19:06:05,1081,615,811,644,118.08587575163132,57.28006336676932,0.25181839790481203,4
2024-12-01 19:06:06,1080,616,810,650,29.04280629838386,0.0,0.2476990981471607,4
2024-12-01 19:06:07,1073,613,805,647,0.0,0.0,0.2765198657174247,4
2024-12-01 19:06:08,1070,610,805,643,94.9601134000707,30.02902452120995,0.2584237898324274,4
2024-12-01 19:06:09,992,605,731,642,86.52814894481476,54.72520647678196,0.26752087071203856,4
2024-12-01 19:06:10,1017,624,754,657,35.00970122923319,22.142079217274713,0.25604094270424,4
2024-12-01 19:06:11,1011,620,748,655,27.454484758432447,38.826504693340596,0.2651714470551987,4
2024-12-01 19:06:12,1013,634,746,666,61.10226676767088,43.205827177289514,0.23294996837634613,4
2024-12-01 19:06:13,1016,637,749,670,96.38790342830164,43.1059808548735,0.2529445193410554,4
2024-12-01 19:06:14,1006,634,735,669,21.02919377848427,53.61413471580763,0.26011187873684083,4
2024-12-01 19:06:15,1016,634,750,666,19.79496886914816,0.0,0.2586967688432772,4
2024-12-01 19:06:16,1013,636,746,669,20.885105968796225,20.885105968796225,0.26150601557238295,4
2024-12-01 19:06:17,1013,635,749,668,20.635457425545827,41.27091485109165,0.25495959698956105,4
2024-12-01 19:06:18,1016,635,749,669,14.914512682106372,47.16383026692296,0.24913019511288964,4
2024-12-01 19:06:19,1020,631,757,663,34.12472439407376,34.12472439407376,0.27052745690104096,4
2024-12-01 19:06:20,1023,636,760,668,54.53345034942305,27.266725174711524,0.24547054953500397,4
2024-12-01 19:06:21,1029,638,763,671,0.0,32.12253775694636,0.25087327927785436,4
2024-12-01 19:06:22,1041,641,774,671,31.73800263329146,0.0,0.2505403562755071,4
2024-12-01 19:06:23,1033,631,771,662,27.598462915197135,39.030120555322696,0.2642576161696253,4
2024-12-01 19:06:24,1030,629,762,654,111.30001425499883,92.60720962067798,0.24110361813728493,4
2024-12-01 19:06:25,962,609,701,636,29.0832842175333,116.3331368701332,0.25860915547157054,4
2024-12-01 19:06:26,962,598,702,626,164.26647471458625,232.30787638458494,0.26121240900146214,4
2024-12-01 19:06:27,974,600,718,625,30.30216159981505,67.75769320237023,0.2673294642330839,4
2024-12-01 19:06:28,987,601,732,625,58.21151886726424,36.816197135683964,0.2696444698517718,4
2024-12-01 19:06:29,969,598,717,623,28.814949161857655,28.814949161857655,0.27481100179594176,4
2024-12-01 19:06:30,989,604,732,631,100.07208268564112,70.76164827447774,0.2390149052151524,4
2024-12-01 19:06:31,1025,607,771,631,87.52154752987116,154.71769939578155,0.25428659440365975,4
2024-12-01 19:06:32,1007,610,755,635,29.8371949094065,29.8371949094065,0.2657057351668626,4
2024-12-01 19:06:33,1019,617,766,644,59.980231142074125,26.823974827965518,0.2514656352951487,4
2024-12-01 19:06:34,1023,633,771,657,91.71060017116713,64.84918728772043,0.24577270705207327,4
2024-12-01 19:06:35,1027,638,774,663,61.4212557203002,86.8627728576346,0.24529477620326856,4
2024-12-01 19:06:36,1003,625,751,655,0.0,38.71020153437743,0.2742608795169978,4
2024-12-01 19:06:37,1002,630,749,661,59.86987738555747,29.934938692778736,0.2742648703364444,4
2024-12-01 19:06:38,1012,631,759,662,37.47657005178121,74.95314010356242,0.2726013912165399,4
2024-12-01 19:06:39,1019,630,765,658,40.89912916214963,0.0,0.27829195264797724,4
2024-12-01 19:06:40,1028,631,772,658,62.272530213498825,62.272530213498825,0.2526661957635298,4
2024-12-01 19:06:41,979,618,728,649,42.90704552469346,0.0,0.2699713137760321,4
