Timestamp,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Left Speed,Right Speed,Average EAR,Blink Count
2024-12-01 13:08:07,1227,696,951,685,0,0,0.29225298213745776,0
2024-12-01 13:08:09,1221,688,942,680,42.02992724043763,29.719646564490642,0.30065570407401704,1
2024-12-01 13:08:10,1230,668,952,662,86.56598619723974,27.37456842819755,0.2916994782105359,1
2024-12-01 13:08:11,1230,635,963,631,32.118672966713625,45.4226629149525,0.30548533435999037,1
2024-12-01 13:08:12,1241,640,968,637,0.0,63.79667275899108,0.30053470734454235,2
2024-12-01 13:08:13,1213,657,937,651,14.390106690971626,14.683812613534808,0.28749469719004883,2
2024-12-01 13:08:14,1205,667,934,659,37.41807249337604,41.83467684110194,0.30339497813194405,2
2024-12-01 13:08:15,1214,672,939,663,31.67771731536832,0.0,0.2944794599312467,2
2024-12-01 13:08:16,1213,673,940,666,40.66165975346332,64.29172913187237,0.2767518570750245,2
2024-12-01 13:08:17,1242,688,965,676,31.393081149050193,113.18936377770244,0.2856293777542611,3
2024-12-01 13:08:18,1243,688,962,677,29.047030062951446,29.047030062951446,0.28734371223072824,4
2024-12-01 13:08:19,1217,710,941,701,122.01398666496003,131.41308539326428,0.2851551794723883,4
2024-12-01 13:08:20,1060,701,779,714,234.7119588209638,196.75284907809888,0.28727362699432524,4
2024-12-01 13:08:21,1048,704,768,723,16.669398331591267,0.0,0.2848308909721775,4
2024-12-01 13:08:22,1051,700,771,720,63.29166545622155,56.60978654771465,0.29359283715763773,4
2024-12-01 13:08:23,1056,701,775,721,42.70594046953254,60.39532020591094,0.2880808875136105,4
2024-12-01 13:08:24,1060,703,779,721,29.51698123830033,66.00197653942546,0.2866338720119802,4
2024-12-01 13:08:25,1130,736,846,746,241.81721901629948,356.7497058222742,0.24112839599932934,4
2024-12-01 13:08:26,1101,715,818,723,40.3279845090643,28.516191317945406,0.28135866788896613,4
2024-12-01 13:08:27,1103,715,817,721,28.191126555138087,0.0,0.29529983351598527,4
2024-12-01 13:08:29,1111,712,826,719,26.64962163329881,59.590365546705115,0.29968180715883463,4
2024-12-01 13:08:30,1110,714,823,720,0.0,18.736114213220645,0.3042995188143705,4
2024-12-01 13:08:31,1109,714,824,721,28.21748900041711,0.0,0.29647256010932466,5
2024-12-01 13:08:32,1109,712,826,719,15.158144291894198,15.158144291894198,0.29785098627414874,5
2024-12-01 13:08:33,1109,713,826,719,24.943378946554628,0.0,0.30600002045077745,5
